ID,Eng,RL,Math,Physics,Chemistry,Biology,Computer,History,Geography
201,66,51,59,89,67,53,57,68,26
202,40,37,89,81,37,63,54,79,46
203,99,100,50,75,63,90,33,59,34
204,37,44,35,64,84,25,89,57,80
205,100,97,26,70,52,38,50,52,39
206,86,61,81,67,96,80,30,72,31
207,57,53,67,39,27,79,44,43,48
208,57,33,88,38,83,37,82,26,82
209,22,52,53,46,25,79,82,52,46
210,68,35,97,70,71,26,32,93,28
211,50,39,39,38,50,90,97,54,95
212,26,58,77,54,35,59,44,36,43
213,73,37,58,81,26,37,50,43,34
214,79,83,96,93,55,50,68,28,56
215,64,98,67,96,53,25,86,32,76
216,50,74,89,43,73,59,86,80,57
217,53,86,54,49,61,69,50,57,64
218,63,94,73,34,66,22,51,45,28
219,54,67,61,56,53,85,38,54,81
220,24,55,89,86,98,96,74,81,47
221,66,22,82,46,36,93,97,31,56
222,27,41,29,77,89,81,51,89,20
223,73,90,78,87,96,42,28,73,27
224,100,91,95,53,42,65,25,53,25
225,49,71,98,76,59,65,53,87,60
226,99,27,74,81,100,76,33,24,41
227,21,21,96,71,43,77,57,22,59
228,98,38,83,89,74,33,67,58,32
229,95,31,88,55,48,53,40,42,78
230,42,57,38,48,95,54,94,45,26
231,84,85,65,44,23,69,24,32,58
232,75,77,25,56,75,55,57,43,68
233,94,99,67,44,66,90,62,66,97
234,29,21,47,76,24,22,96,39,43
235,92,26,32,25,23,61,68,97,91
236,47,23,20,56,41,78,30,65,75
237,74,34,62,21,36,57,85,21,69
238,24,76,42,22,74,100,97,67,91
239,49,41,67,21,74,26,45,45,20
240,86,90,54,56,75,25,86,25,43
241,38,57,40,73,35,62,36,81,43
242,43,65,86,86,84,86,48,68,96
243,74,50,30,97,29,85,77,48,38
244,57,77,65,51,89,63,84,94,32
245,94,77,86,77,37,26,93,80,24
246,86,53,99,22,25,92,62,54,82
247,47,49,20,50,95,23,84,52,37
248,57,41,25,59,97,91,44,46,55
249,61,58,76,20,41,67,70,44,68
250,67,81,85,59,79,65,81,63,30
251,72,53,28,45,88,27,50,50,37
252,47,38,75,27,92,97,28,60,67
253,29,65,96,27,87,48,85,51,91
254,21,33,64,100,42,48,59,46,37
255,60,56,48,76,23,29,22,62,82
256,42,67,96,90,80,28,48,72,30
257,20,32,54,42,89,87,27,29,100
258,61,46,54,89,52,90,64,23,82
259,95,79,65,76,65,71,66,57,48
260,78,93,30,72,72,66,94,66,59
261,90,88,45,70,43,20,66,44,38
262,86,70,21,66,30,93,84,76,38
263,68,22,57,40,65,31,63,35,91
264,20,73,37,20,25,28,68,60,50
265,52,90,56,49,50,75,43,49,20
266,77,75,25,100,59,63,32,93,70
267,62,89,54,35,37,39,29,30,84
268,77,59,87,76,24,83,57,42,86
269,52,77,30,92,27,36,76,81,50
270,83,68,90,61,33,70,61,92,77
271,92,28,49,52,98,66,44,53,81
272,21,86,87,28,42,43,79,95,37
273,55,78,65,67,68,42,37,44,75
274,93,78,97,68,65,21,94,50,71
275,76,42,24,20,46,67,43,32,68
276,89,62,25,58,20,88,42,36,48
277,61,62,49,34,67,87,61,51,62
278,64,27,35,82,77,40,84,53,47
279,41,37,69,95,24,46,27,22,83
280,76,20,35,24,100,28,75,57,89
281,25,90,98,74,30,21,58,66,93
282,78,30,61,50,99,99,85,48,82
283,33,55,90,36,21,72,50,87,45
284,73,66,37,79,91,67,35,39,86
285,94,58,57,52,34,40,98,37,70
286,58,88,58,39,54,82,32,79,28
287,49,23,26,28,32,20,56,76,62
288,66,89,24,35,73,59,34,28,55
289,85,83,33,24,63,52,96,83,27
290,87,100,45,42,31,40,39,84,83
291,58,25,82,78,38,25,32,99,96
292,98,91,51,33,94,39,24,68,23
293,66,35,62,67,23,91,47,50,78
294,25,94,57,99,27,26,32,24,98
295,97,66,60,93,38,37,41,90,57
296,48,71,85,68,48,35,50,21,49
297,26,26,27,87,92,36,53,82,50
298,41,41,50,57,90,78,64,41,97
299,95,77,74,62,96,90,35,36,32
300,88,84,34,88,94,67,40,82,96
301,99,44,61,31,86,95,77,99,52
302,89,32,68,64,41,90,25,63,74
303,78,28,46,94,90,43,75,71,92
304,48,21,77,97,74,50,21,53,52
305,83,54,85,58,70,55,21,61,97
306,50,55,73,81,29,62,56,39,24
307,43,74,45,69,88,86,39,97,98
308,52,35,68,56,27,58,69,27,44
309,91,81,67,94,96,67,36,95,99
310,49,42,53,52,59,26,88,97,84
311,22,20,34,44,22,94,38,33,53
312,34,69,93,54,97,57,98,84,65
313,97,98,70,92,36,51,46,60,58
314,93,21,41,49,82,35,62,89,89
315,58,41,65,93,70,45,28,40,65
316,35,50,100,85,83,48,24,27,76
317,24,78,57,71,30,85,64,72,69
318,53,56,64,43,57,81,89,33,81
319,68,84,77,88,76,81,26,83,66
320,83,65,34,59,37,58,100,50,61
321,88,22,80,33,69,63,31,30,40
322,54,78,64,87,97,32,91,81,34
323,53,40,37,55,64,54,78,23,36
324,70,97,79,77,57,51,41,99,34
325,99,67,78,78,83,49,92,83,97
326,81,66,65,32,75,58,29,50,57
327,40,77,94,89,82,43,45,59,29
328,28,54,93,83,43,98,35,67,43
329,54,80,72,57,94,57,95,65,33
330,38,89,89,74,45,24,64,51,54
331,67,33,88,69,43,54,89,77,86
332,38,41,81,67,41,26,50,91,65
333,73,50,96,53,87,48,90,96,70
334,79,54,51,82,76,76,23,74,37
335,85,56,84,69,21,82,57,99,20
336,63,87,86,76,99,71,69,46,81
337,76,50,30,46,20,94,76,56,92
338,54,62,47,36,88,30,76,45,96
339,50,91,49,75,74,28,60,36,69
340,39,43,48,30,35,31,96,58,23
341,52,37,62,81,34,95,80,85,88
342,33,95,57,69,30,76,100,41,31
343,78,91,54,56,86,68,31,24,53
344,44,45,90,42,33,28,38,29,37
345,44,81,57,78,70,60,52,32,67
346,39,93,30,78,47,45,63,86,58
347,89,47,28,49,77,69,57,52,94
348,84,67,42,43,61,46,43,63,22
349,37,32,68,36,94,38,91,73,36
350,50,26,22,28,51,90,100,40,79
351,81,36,90,57,95,46,25,73,21
352,22,55,72,76,68,44,57,54,29
353,71,42,47,44,80,87,56,45,60
354,74,76,88,69,20,34,94,66,31
355,61,79,22,24,43,90,50,61,59
356,75,49,84,48,77,61,82,82,55
357,39,52,56,41,97,44,51,53,89
358,29,87,27,80,20,92,65,32,56
359,65,80,70,79,36,20,60,29,63
360,51,29,98,73,61,42,35,90,78
361,81,63,71,62,75,30,53,38,65
362,41,72,51,82,93,77,42,76,44
363,54,53,54,29,41,30,88,53,83
364,35,51,47,45,29,26,50,70,65
365,27,68,44,94,27,89,26,30,44
366,83,98,76,39,71,59,35,49,37
367,51,89,52,23,32,100,39,64,43
368,44,28,81,23,70,62,99,100,76
369,84,42,99,76,46,70,93,91,76
370,31,89,74,59,74,66,27,90,80
371,45,72,72,58,33,87,49,78,74
372,58,29,20,78,28,21,32,48,38
373,66,96,63,82,76,71,78,29,65
374,63,34,75,91,67,96,95,40,63
375,62,84,89,89,30,82,41,57,62
376,46,62,22,41,92,59,81,20,81
377,73,92,76,50,47,92,98,25,74
378,65,99,50,42,21,74,43,29,96
379,99,46,28,86,59,90,84,75,75
380,61,89,20,25,56,85,81,33,39
381,83,28,96,50,72,76,54,33,30
382,49,39,20,99,90,93,88,39,30
383,64,69,42,90,95,52,43,65,98
384,87,67,30,85,72,45,58,33,56
385,70,98,89,73,99,93,46,83,36
