ID,Eng,RL,Math,Physics,Chemistry,Core
401,26,56,41,54,51,55
402,98,83,82,34,94,85
403,34,42,83,78,79,31
404,56,21,100,58,72,81
405,21,27,94,66,51,31
406,98,100,73,98,62,55
407,38,68,27,28,41,95
408,81,88,62,27,43,67
409,89,63,100,21,39,100
410,23,84,51,47,86,49
411,89,42,45,72,21,56
412,99,76,73,97,47,84
413,59,82,65,45,73,26
414,41,57,28,89,51,29
415,82,26,34,35,46,81
416,51,83,92,26,72,75
417,44,37,33,91,82,31
418,21,44,35,92,53,94
419,79,30,86,51,57,65
420,58,69,98,95,36,37
421,47,91,60,34,51,36
422,21,21,30,44,23,79
423,34,54,88,67,33,44
424,83,47,88,27,92,59
425,80,65,54,28,85,77
426,68,78,73,66,68,68
427,84,89,73,37,35,25
428,40,41,25,45,78,94
429,69,45,29,25,47,72
430,28,22,67,93,31,72
431,68,25,83,47,47,75
432,64,70,79,88,68,53
433,85,93,36,79,100,88
434,87,47,56,54,65,97
435,29,70,60,24,96,84
436,37,27,57,81,97,85
437,71,45,72,51,37,90
438,100,61,41,32,70,79
439,65,89,95,85,95,85
440,46,41,43,95,32,20
441,55,40,20,67,46,87
442,69,29,55,73,77,75
443,31,88,98,56,21,65
444,49,63,68,70,40,39
445,58,68,40,25,58,29
446,87,83,29,94,92,31
447,60,85,74,71,56,57
448,97,69,85,55,63,41
449,71,62,99,97,99,36
450,80,61,80,76,55,21
451,78,93,75,66,50,71
452,29,99,41,87,53,36
453,80,54,85,20,94,93
454,71,62,60,74,67,83
455,78,96,31,91,41,27
456,36,77,52,22,66,20
457,76,50,80,89,61,88
458,79,91,73,73,83,44
459,48,90,55,60,63,62
460,89,95,87,100,43,92
461,37,91,88,64,92,80
462,94,83,31,77,34,90
463,85,92,59,39,68,61
464,83,21,28,42,33,73
465,63,57,78,37,50,68
466,44,21,77,88,47,99
467,46,39,96,98,25,22
468,45,42,42,55,41,84
469,62,47,52,94,23,44
470,69,22,50,55,87,46
471,86,85,29,99,56,39
472,80,20,72,46,51,87
473,65,76,86,79,34,59
474,22,43,86,60,43,68
475,62,67,100,85,80,80
476,57,80,93,47,26,57
477,93,52,75,74,44,81
478,69,78,33,81,40,23
479,89,41,95,80,83,84
480,66,68,95,95,25,33
481,NA,NA,NA,NA,NA,NA
482,NA,NA,NA,NA,NA,NA
