ID,Eng,RL,Math,Science,Social
1,38,83,33,83,62
2,29,66,35,40,54
3,83,72,70,59,74
4,49,32,84,62,85
5,82,54,75,29,90
6,20,62,81,61,93
7,41,44,59,69,46
8,40,96,55,81,23
9,35,50,59,98,22
10,32,57,68,83,95
11,74,61,47,54,45
12,34,50,81,41,57
13,75,34,20,95,30
14,41,53,55,45,34
15,25,45,88,96,63
16,62,73,49,69,82
17,68,44,62,93,64
18,62,23,41,27,47
19,49,99,68,66,80
20,64,71,47,27,33
21,79,88,38,79,35
22,22,44,47,80,41
23,73,100,88,91,74
24,22,77,72,79,91
25,43,51,26,79,31
26,57,92,31,50,97
27,32,55,71,98,30
28,37,21,54,32,68
29,57,38,65,55,71
30,26,55,39,53,41
31,87,56,28,84,88
32,85,44,99,36,75
33,78,51,59,24,34
34,66,81,28,57,72
35,24,75,98,61,41
36,31,96,38,80,72
37,31,71,37,38,37
38,61,96,57,56,71
39,77,53,40,25,27
40,70,32,23,91,79
41,99,54,87,47,35
42,46,92,98,51,96
43,68,95,65,35,97
44,69,96,51,57,41
45,26,45,26,63,91
46,96,46,95,77,77
47,45,38,88,97,37
48,51,77,22,23,76
49,97,44,45,77,69
50,56,83,54,33,67
51,53,76,92,37,24
52,44,62,96,49,32
53,85,43,62,58,31
54,42,51,27,23,24
55,59,51,42,57,75
56,86,97,88,83,78
57,29,21,71,91,73
58,82,21,62,79,87
59,34,35,49,50,65
60,68,61,38,59,45
61,50,93,26,73,47
62,42,98,49,93,23
63,43,77,83,20,51
64,78,63,88,63,52
65,58,39,99,65,51
66,94,75,82,96,42
67,67,51,83,83,47
68,20,79,91,64,91
69,76,96,57,41,47
70,46,76,31,45,95
71,44,23,46,94,69
72,55,97,26,49,63
73,84,58,32,98,85
74,58,36,93,27,85
75,47,65,48,54,37
76,71,91,30,67,80
77,84,86,90,36,51
78,48,41,96,64,96
79,69,93,100,72,95
80,55,93,28,100,98
81,60,99,27,35,83
82,28,81,97,45,46
83,48,71,21,23,65
84,87,67,79,62,48
85,46,45,53,52,20
86,27,27,69,40,58
87,57,45,30,96,41
88,21,53,98,53,32
89,57,78,61,80,53
90,74,30,84,84,69
91,76,21,26,64,51
92,57,94,23,23,44
93,82,72,81,87,100
94,51,45,30,32,57
95,68,52,53,59,52
96,85,84,84,63,95
97,33,33,34,88,100
98,67,64,45,95,88
99,80,46,77,46,77
100,22,20,25,65,44
101,96,79,34,74,61
102,86,94,92,66,56
103,47,26,86,97,57
104,39,51,60,67,87
105,67,72,27,73,59
106,24,65,54,62,87
107,40,35,89,74,73
108,51,60,69,25,57
109,26,58,49,31,42
110,23,98,87,77,76
111,47,46,79,23,84
112,69,40,31,44,94
113,81,83,54,25,96
114,76,25,48,69,20
115,70,49,37,79,85
116,26,56,24,52,65
117,50,20,42,89,85
118,75,84,76,96,83
119,37,26,99,49,58
120,95,79,24,98,44
121,43,31,77,48,72
122,44,42,28,68,22
123,23,81,39,91,43
124,44,46,76,89,54
125,88,70,100,91,77
126,94,57,48,65,97
127,77,51,63,24,55
128,89,75,56,71,57
129,25,73,61,100,49
130,99,69,56,52,55
131,53,35,20,52,57
132,64,33,57,23,38
133,42,69,41,44,64
134,81,88,69,57,44
135,99,84,34,65,70
136,43,84,46,57,89
137,39,100,49,98,85
138,100,45,59,39,80
139,56,67,93,74,49
140,39,26,93,50,72
141,36,94,40,71,74
142,23,75,63,47,31
143,31,67,25,65,20
144,92,58,24,78,21
145,38,73,98,26,59
146,20,87,79,40,72
147,60,90,31,29,60
148,25,98,63,77,25
149,65,29,30,25,92
150,85,21,20,70,23
151,67,35,88,23,63
152,93,56,35,93,26
153,30,91,71,46,52
154,96,22,35,53,89
155,44,86,41,57,52
156,55,46,89,85,61
157,43,94,57,40,85
158,62,36,69,70,37
159,91,34,100,58,54
160,35,59,64,92,74
161,45,58,63,63,94
162,32,49,84,56,63
163,47,25,33,85,78
164,52,71,47,85,67
165,59,96,78,54,68
166,20,64,28,44,87
167,62,20,35,90,80
168,28,60,55,66,34
169,55,81,20,55,53
170,87,89,52,23,84
171,99,71,66,27,45
172,92,96,49,35,93
173,85,65,38,36,72
174,82,31,90,88,99
175,20,98,50,25,75
176,53,53,85,72,94
177,69,51,60,27,27
178,86,53,76,60,28
179,73,81,96,45,74
180,22,96,38,76,25
181,37,86,79,38,44
182,66,32,62,52,82
183,78,30,36,24,33
184,80,83,35,49,99
185,27,25,22,31,69
186,34,42,53,93,33
187,32,50,93,65,100
188,92,60,61,39,32
189,90,87,76,99,57
190,20,59,82,82,100
191,85,37,71,87,77
192,65,86,37,35,85
193,99,44,41,87,75
194,90,90,81,94,65
195,29,28,90,31,52
196,94,34,96,24,82
197,63,96,66,21,34
198,27,37,79,72,82
199,92,83,58,90,47
200,46,98,80,42,36
