ID,Eng,RL,Math,Physics,Chemistry,Biology,Computer,History,Geography
201,54,80,34,23,41,50,46,89,73
202,23,41,80,97,62,32,37,76,51
203,47,100,65,44,37,59,81,40,59
204,55,58,51,47,42,76,70,39,70
205,92,25,30,67,72,29,99,57,82
206,22,41,72,55,55,89,27,74,71
207,60,82,27,92,60,86,22,90,31
208,78,89,64,93,63,100,36,93,74
209,64,22,50,26,90,73,62,95,46
210,28,36,79,37,92,53,27,97,56
211,26,62,87,46,29,29,55,74,39
212,61,50,30,35,50,79,43,90,71
213,52,33,94,70,91,46,27,39,43
214,66,79,32,88,71,28,54,36,70
215,84,91,61,43,23,30,100,78,98
216,100,78,53,23,55,78,78,94,58
217,23,30,53,100,99,57,85,90,93
218,82,24,78,94,41,94,96,58,45
219,98,91,71,68,49,57,82,43,91
220,60,65,58,85,59,45,40,63,24
221,36,58,37,20,95,40,50,92,68
222,25,71,50,51,34,32,30,20,41
223,94,59,57,84,27,33,80,91,91
224,83,79,49,94,97,61,21,67,35
225,89,70,81,87,40,32,96,78,81
226,71,21,74,79,35,95,73,62,52
227,48,38,64,92,74,20,83,22,66
228,66,82,24,35,94,58,94,61,40
229,43,95,59,69,63,99,46,57,91
230,45,32,53,89,65,42,26,31,87
231,86,90,46,50,70,35,97,97,75
232,34,93,75,30,37,31,77,22,78
233,58,66,63,33,89,49,91,78,74
234,58,54,89,71,45,99,76,25,94
235,97,30,25,64,25,64,98,53,100
236,32,100,64,41,51,24,27,44,100
237,47,27,56,77,93,37,77,84,48
238,47,31,99,47,47,98,79,51,31
239,62,61,41,46,40,29,45,60,81
240,69,27,24,20,45,46,68,22,33
241,99,56,71,51,26,79,26,99,51
242,30,74,55,44,79,96,90,81,96
243,23,52,54,42,30,55,32,66,97
244,80,87,88,65,47,51,24,67,55
245,94,92,55,47,47,26,99,32,62
246,66,62,54,29,73,86,40,54,73
247,27,28,42,31,86,88,23,64,71
248,84,100,90,91,80,100,67,68,22
249,54,76,30,68,81,25,42,90,89
250,21,55,71,78,59,51,95,24,59
251,79,71,61,99,32,38,99,33,53
252,72,85,84,98,50,49,76,68,88
