ID,Eng,RL,Math,Physics,Chemistry,Core
401,44,49,90,79,26,21
402,66,65,38,65,81,73
403,68,94,52,58,29,63
404,56,36,66,45,68,98
405,69,78,74,49,30,92
406,35,47,92,88,72,69
407,23,52,41,71,86,40
408,51,62,37,79,65,67
409,59,57,88,50,67,44
410,79,58,79,58,70,35
411,40,49,22,39,57,88
412,77,47,53,86,32,34
413,38,51,66,28,93,55
414,20,70,24,35,65,70
415,20,85,75,72,60,65
416,67,29,50,91,79,24
417,88,24,65,57,49,56
418,80,68,54,100,44,96
419,68,20,72,35,79,53
420,67,98,60,46,99,21
421,99,47,94,54,65,61
422,70,44,22,82,51,88
423,27,96,35,87,81,97
424,32,47,32,94,92,79
425,20,32,67,99,97,65
426,36,83,20,29,93,49
427,54,42,79,36,77,71
428,32,27,80,87,55,25
429,48,61,40,57,38,42
430,27,47,50,55,44,56
431,84,73,92,71,76,26
432,82,30,83,80,97,97
433,65,24,74,47,37,35
434,70,63,56,56,99,98
435,33,63,51,92,58,66
436,46,20,86,26,33,69
437,43,100,98,41,47,22
438,96,80,73,21,85,95
439,49,86,90,33,98,80
440,47,89,31,60,31,21
441,98,96,84,44,96,70
442,96,66,99,91,31,57
443,95,71,58,90,76,34
444,66,71,62,42,31,55
445,51,47,77,53,91,80
446,43,56,61,53,63,26
447,67,27,88,99,96,25
448,98,84,55,90,38,87
449,57,67,47,88,48,82
450,80,64,53,97,56,95
451,71,79,68,72,35,71
452,36,47,59,71,54,46
453,84,89,83,32,33,70
454,31,79,46,70,75,81
455,97,50,21,89,94,65
456,85,23,34,30,81,58
457,54,56,69,44,41,22
458,95,35,63,91,40,92
459,38,33,89,39,31,69
460,37,100,38,54,48,54
461,69,64,94,48,76,75
462,54,22,97,64,31,27
463,97,100,96,70,40,42
464,69,92,37,32,83,31
465,24,59,83,43,24,43
466,81,60,81,74,87,40
467,48,69,67,21,45,59
468,95,100,88,51,25,57
469,65,56,24,45,23,76
470,88,97,79,39,99,60
471,76,41,24,68,29,23
472,41,69,45,100,87,61
473,24,63,83,61,51,65
474,59,59,81,97,43,70
475,65,32,83,69,48,62
476,93,86,55,92,51,81
477,45,24,34,65,33,83
478,94,64,57,35,56,31
479,30,82,82,48,57,94
480,93,90,42,80,72,91
481,NA,NA,NA,NA,NA,NA
482,NA,NA,NA,NA,NA,NA
