ID,Eng,RL,Math,Science,Social
1,25,24,80,23,68
2,59,85,27,39,70
3,45,77,71,30,59
4,63,23,28,36,33
5,27,21,78,77,73
6,97,89,73,26,25
7,69,85,85,69,31
8,76,98,87,34,45
9,62,93,23,38,85
10,30,20,75,70,44
11,28,51,61,29,77
12,89,91,21,55,98
13,38,87,43,81,54
14,68,38,82,84,49
15,31,26,93,62,55
16,58,59,79,41,75
17,65,99,73,71,32
18,66,81,92,72,21
19,34,26,54,44,57
20,63,91,24,39,51
21,95,43,70,63,86
22,67,21,55,78,86
23,77,54,33,82,51
24,63,23,36,78,73
25,25,85,41,20,51
26,28,86,50,32,63
27,24,40,32,65,77
28,60,22,67,35,42
29,66,75,81,31,39
30,31,99,45,24,69
31,63,87,75,24,28
32,64,37,46,52,57
33,72,23,28,65,65
34,92,62,56,96,93
35,29,63,33,42,94
36,57,88,45,45,25
37,44,52,100,38,84
38,39,28,50,79,23
39,81,59,78,25,65
40,66,51,65,29,75
41,98,37,57,89,25
42,39,65,88,94,52
43,53,65,85,98,42
44,63,86,59,48,37
45,46,88,63,94,70
46,57,67,31,27,21
47,20,65,77,84,91
48,39,97,48,70,26
49,87,78,37,95,28
50,83,24,60,24,68
51,94,61,50,98,43
52,51,30,49,20,67
53,31,44,20,85,24
54,28,31,33,68,93
55,21,66,48,53,63
56,88,30,71,95,62
57,62,39,89,41,30
58,66,51,89,21,90
59,87,70,98,98,70
60,61,86,61,73,67
61,64,99,56,88,63
62,99,94,87,57,98
63,86,76,97,84,43
64,28,76,81,36,48
65,65,78,71,95,22
66,31,87,97,35,77
67,96,92,67,63,47
68,29,23,45,20,36
69,51,80,61,63,43
70,53,39,40,26,55
71,41,67,87,78,57
72,99,98,68,63,87
73,72,85,100,73,98
74,94,80,84,51,53
75,59,31,44,39,78
76,55,100,27,98,29
77,76,37,44,45,45
78,32,58,56,65,71
79,23,49,93,60,73
80,68,45,49,22,81
81,23,32,20,31,58
82,91,41,88,81,63
83,31,95,80,47,63
84,43,98,87,71,21
85,97,24,26,23,43
86,51,39,88,20,74
87,65,84,50,20,54
88,90,28,43,39,45
89,57,72,44,76,45
90,39,75,37,75,34
91,30,55,90,87,95
92,54,22,43,95,88
93,74,90,86,67,30
94,72,68,35,22,26
95,59,52,41,24,79
96,41,85,94,55,69
97,33,21,49,49,82
98,75,48,92,56,25
99,21,78,30,94,72
100,32,29,52,40,74
101,81,24,73,40,85
102,51,79,53,73,100
103,66,92,73,57,80
104,39,53,61,93,23
105,71,62,31,98,29
106,42,53,55,52,28
107,45,57,20,27,44
108,57,34,73,84,22
109,57,31,40,52,87
110,56,50,89,64,35
111,37,78,34,81,43
112,22,43,90,91,82
113,85,40,38,48,22
114,96,50,68,77,39
115,84,32,36,74,49
116,99,43,45,69,88
117,82,72,67,46,65
118,33,85,52,97,82
119,40,87,88,41,37
120,44,49,45,79,46
121,70,83,90,89,90
122,34,47,63,81,20
123,85,24,31,46,84
124,86,26,48,29,98
125,43,87,80,68,86
126,99,28,37,33,71
127,75,78,75,85,67
128,99,27,47,44,79
129,65,37,39,64,71
130,88,83,92,44,93
131,76,90,20,98,96
132,94,91,50,26,81
133,82,26,81,94,93
134,83,23,32,59,75
135,95,32,38,71,80
136,81,50,25,59,70
137,23,79,52,81,72
138,38,92,27,22,30
139,72,20,36,57,51
140,38,49,33,77,61
141,90,38,97,70,71
142,31,98,65,83,44
143,99,72,100,73,39
144,96,42,40,85,74
145,71,83,65,59,70
146,83,81,87,27,59
147,43,52,44,68,98
148,27,82,87,83,100
149,93,23,34,96,95
150,75,52,48,77,46
151,36,82,60,51,82
152,50,73,46,57,96
153,50,61,41,50,43
154,99,98,64,64,75
155,62,40,80,65,61
156,24,52,93,38,56
157,65,79,42,60,36
158,94,100,52,85,53
159,47,29,21,96,38
160,49,44,70,52,21
161,71,57,77,27,36
162,60,77,55,99,95
163,60,84,39,93,70
164,56,72,77,52,84
165,45,70,34,92,59
166,88,26,29,98,80
167,99,37,64,31,33
168,62,70,22,21,20
169,54,25,60,68,54
170,50,50,84,56,75
171,50,20,38,80,31
172,100,66,50,100,80
173,88,67,85,46,52
174,83,39,55,85,27
175,30,46,55,67,82
176,49,78,83,31,36
177,91,20,73,73,90
178,100,69,42,86,48
179,100,78,30,70,87
180,89,71,52,74,45
181,30,64,60,61,24
182,33,82,55,94,79
183,94,82,67,88,79
184,94,36,81,82,35
185,78,29,56,46,91
186,60,78,100,88,83
187,53,49,57,84,57
188,93,62,73,49,66
189,92,24,83,81,92
190,22,91,76,77,52
191,79,41,34,77,49
192,41,94,23,93,41
193,66,50,93,44,61
194,23,75,97,25,38
195,79,42,97,95,64
196,98,21,86,85,29
197,62,68,60,93,97
198,78,51,33,56,63
199,40,62,83,72,94
200,42,79,26,82,22
